gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Ndufb9 ,0.04204179,1.0987242
Tnfrsf23 ,0.08845319,1.0980883
Tmed5 ,0.03552936,1.0970508
Ndufs4 ,0.02845504,1.0938925
Med28 ,0.03090545,1.0920175
100043883,0.02754982,1.0875358
St3gal6 ,0.01206441,1.0778442
Smpdl3a ,0.03983715,1.0775825
Eapp ,0.04426582,1.0772758
BC003266 ,0.00359329,1.0770683
Fundc1 ,0.00980037,1.0645975
Scd3 ,0.00205915,1.0640633
Mcee ,0.01723265,1.0621875
Zfp51 ,0.03794294,1.0551267
Zfp759 ,0.02039616,1.0524408
Ugcg ,0.0786947,1.0515017
Samd9l ,0.08429944,1.0506
Cngb3 ,0.01949023,1.0505408
Fabp7 ,0.06857933,1.0500367
Psmd5 ,0.04696815,1.0500033
Ube2v2 ,0.02394084,1.0474325
Pfn2 ,0.05484746,1.0470425
Pigf ,0.01937077,1.0435675
Hamp ,0.30708273,1.0411833
Cdkn2aipnl ,0.04052384,1.0410375
5730494N06Rik ,0.0376176,1.0391808
Cmbl ,0.04891627,1.0372217
Slc7a11 ,0.13657436,1.0364358
Psat1 ,0.12170511,1.0360167
Vsnl1 ,0.00419765,1.03534
Ndufa2 ,0.01226215,1.0334883
Id2 ,0.03342088,1.0310492
Arl6 ,0.02225897,1.0283092
Lyrm5 ,0.01573388,1.0218233
Lrrc61 ,0.03631725,1.0183258
Elovl7 ,0.0631298,1.0122242
Mal2 ,0.07252811,1.0102358
48824,0.0134706,1.0084367
Ccdc122 ,0.00307539,1.0074508
Ugt2b34 ,0.06804799,1.0063833
Ube2w ,0.04576474,1.0032133
Kcnh5 ,0.00240715,0.9995192
Dhdh ,0.00786682,0.9990508
Rsl1d1 ,0.0416209,0.9982525
Gpm6a ,0.02122118,0.9980908
Zfp60 ,0.00635383,0.9959333
Zfp422-rs1 ,0.04857539,0.9923292
BC013529 ,0.03370612,0.9920433
Zbtb33 ,0.01481892,0.990335
Rab9b ,0.01153262,0.9898717
Akr1c14 ,0.00976144,0.9897725
Fundc2 ,0.01313466,0.9884492
Il13ra1 ,0.06735057,0.9881717
Nupr1 ,0.00913482,0.98681
OTTMUSG00000007495 ,0.09499646,0.9827267
P2ry14 ,0.00180442,0.98223
Sult1c2 ,0.0001419,0.9809958
2900010M23Rik ,0.01890953,0.9786992
Cldn9 ,0.0334116,0.9786008
3222402P14Rik ,0.09582735,0.9779308
Dynlt3 ,0.01533395,0.977515
Acot2 ,0.02224846,0.9769433
Actr6 ,0.01208147,0.9765525
Fam107b ,0.0671977,0.9765083
5430414B19Rik ,0.08969316,0.9741142
Polr2f ,0.03614493,0.9715158
Nudt4 ,0.04306209,0.9708333
Thumpd3 ,0.03749685,0.9706842
Serpinb9 ,0.04812801,0.970395
Stmn3 ,0.02813197,0.9685567
Eif3e ,0.01401522,0.96771
Ccdc53 ,0.03925789,0.9664867
Ttc26 ,0.04501633,0.965805
Cmpk1 ,0.04206022,0.9655617
Atpbd4 ,0.03703873,0.9636675
Rab25 ,0.07555895,0.9614542
Tmem126a ,0.02949098,0.9570883
Serpini1 ,0.02817152,0.9561683
Sfrs12ip1 ,0.03739548,0.9559208
A530054K11Rik ,0.03940401,0.95493
Fam126b ,0.0393696,0.9533083
Ube2g1 ,0.02118649,0.9526833
Churc1 ,0.01367193,0.9498208
Znrd1 ,0.02482414,0.9492567
Enpp2 ,0.02171928,0.94785
Ttc35 ,0.01475172,0.94255
Tmem68 ,0.01460684,0.9396133
Capza2 ,0.0502934,0.9390792
Apod ,0.03017988,0.93865
Orc5l ,0.0267395,0.9384225
Ccl7 ,0.06761497,0.9360908
Zbtb26 ,0.01485073,0.93396
Defb1 ,0.11148552,0.9335642
Mudeng ,0.05341773,0.9330258
Tmem167 ,0.03304242,0.93256
Aspn ,0.00744,0.9321383
Rps27l ,0.0926832,0.9316225
Nsbp1 ,0.01131722,0.9310992
5730470L24Rik ,0.04569129,0.9263658
Echdc1 ,0.02330951,0.9263575
Tbc1d7 ,0.03023271,0.924925
Degs2 ,0.00928834,0.9245158
Cyp2j6 ,0.00829019,0.9230275
53420,0.03156313,0.9228525
Cdkn2c ,0.04768127,0.9225942
2900010J23Rik ,0.02101641,0.9213358
Mphosph10 ,0.0172599,0.920545
Adat2 ,0.01489473,0.9178758
Tmem56 ,0.02398036,0.9168467
Pno1 ,0.0134426,0.9166767
Sh3bgrl ,0.04879627,0.914375
Nqo2 ,0.01056251,0.9110308
Rnft1 ,0.01119922,0.9108942
Slc25a36 ,0.00612608,0.910525
Slc18a1 ,0.03077352,0.9099833
Ppp6c ,0.03170159,0.90871
Apof ,0.01810657,0.9017483
Alb ,0.00795291,0.9015033
Ormdl1 ,0.01198561,0.8988117
Pls3 ,0.04356167,0.89832
Cpne3 ,0.03364988,0.8965175
Zfp87 ,0.12609916,0.8941433
Lxn ,0.01722054,0.8938917
Asnsd1 ,0.04123433,0.8938475
Ccl2 ,0.15978549,0.8929492
B3galt2 ,0.00099815,0.8914925
2610001J05Rik ,0.02248824,0.8912225
Tmem50b ,0.0476627,0.890975
Atg10 ,0.01339334,0.8896933
Cbr4 ,0.00921746,0.8870267
Nudt19 ,0.08219681,0.88455
Timm8b ,0.03946108,0.88295
Dtwd1 ,0.03226586,0.8812767
Slc8a1 ,0.08939704,0.8762692
Gng5 ,0.01635963,0.8754742
Aasdhppt ,0.0184888,0.87439
4930430F08Rik ,0.00395843,0.873705
Rpp30 ,0.03836165,0.8730642
0610009D07Rik ,0.03092197,0.8710483
Ndufaf1 ,0.03230152,0.8708833
Apool ,0.01461106,0.8707692
Qpct ,0.00153296,0.8690292
Pnrc2 ,0.03649318,0.8685583
Rab39 ,0.00010656,0.8684475
2210408I21Rik ,0.00621567,0.8681475
Chac1 ,0.15903371,0.8671908
Gstt1 ,0.00520092,0.8669842
Tpi1 ,0.02760681,0.8654083
Imp3 ,0.029144,0.8653683
Exod1 ,0.04135219,0.8651625
Mad2l1 ,0.06501068,0.8644475
B230315N10Rik ,0.00625123,0.8643742
AI182371 ,0.0026841,0.8638458
1810030N24Rik ,0.01241739,0.8608383
Tmem77 ,0.02667566,0.8590667
Eif4ebp1 ,0.22667991,0.8590642
Nme3 ,0.01284322,0.8584958
2610002M06Rik ,0.0353061,0.85767
C8b ,0.05247804,0.8569783
Lig4 ,0.08882149,0.8556075
Slc30a4 ,0.13639971,0.8551267
Zfp60 ,0.01646978,0.8546092
Prdx3 ,0.06231422,0.8544433
Chic2 ,0.04339738,0.8537183
Ctso ,0.02503485,0.8526217
Usp1 ,0.05849758,0.8523517
Cldn6 ,0.0441161,0.8521933
Higd2a ,0.01299443,0.8509458
Acpl2 ,0.00039768,0.8506008
Rp2h ,0.01844771,0.8498617
Hist1h2ac ,0.0853608,0.8497483
Casp6 ,0.01962009,0.8492667
1110007M04Rik ,0.04653787,0.8487233
Ccl3 ,0.08713185,0.8480408
Pla2g2d ,0.03496222,0.84676
Slco1a5 ,0.04198286,0.8458242
Sepx1 ,0.02185267,0.8456125
Gbe1 ,0.03098322,0.8427192
0610007C21Rik ,0.05455914,0.84205
Gas2 ,0.00132457,0.8418617
Bcl10 ,0.03921251,0.8415975
Txndc12 ,0.06103008,0.8404275
Tmem209 ,0.03206462,0.837725
Aadacl1 ,0.07558457,0.8375458
Ppt1 ,0.06090124,0.8374217
Zdhhc13 ,0.02764474,0.8369125
Fbxo36 ,0.01381909,0.8368592
Dio1 ,0.14245283,0.8366467
1110002N22Rik ,0.02154409,0.8358942
D030056L22Rik ,0.08501,0.8356425
Hsd17b10 ,0.02385638,0.8352708
Elovl4 ,0.00803869,0.8348908
Pcp4 ,0.02635177,0.8342925
Akr1e1 ,0.00973267,0.834165
Zcchc17 ,0.04897632,0.83375
Papolg ,0.02362076,0.831595
AI987944 ,0.00334875,0.8290433
Prss23 ,0.06307326,0.8288492
Dars ,0.0539014,0.82839
Gatad1 ,0.04904943,0.8278458
Fbp1 ,0.04419907,0.8272567
Kcnip4 ,0.03820546,0.826825
Hapln4 ,0.02271624,0.8267308
Mum1l1 ,0.0775009,0.8259283
Txnl4b ,0.02721961,0.8257192
Tgtp ,0.15759842,0.8254358
BC031181 ,0.02575231,0.8233667
Prcp ,0.02281911,0.822695
Nudcd1 ,0.02099123,0.8226608
Enpp1 ,0.1056947,0.8224608
Napepld ,0.00786601,0.8214133
Ndufa7 ,0.00644879,0.8211192
Mtx2 ,0.0557337,0.8211058
1700009P17Rik ,0.01290228,0.8205742
Srgn ,0.05720113,0.8202058
Hspa13 ,0.06237048,0.8198475
Glrb ,0.06678593,0.8197983
Ascl1 ,0.05314468,0.8186025
2410002O22Rik ,0.02293201,0.8159825
Asb3 ,0.02736516,0.8159542
Ptgr2 ,0.06244823,0.8156
l7Rn6 ,0.01243778,0.8153783
4931406C07Rik ,0.01944597,0.8132083
Man1a ,0.08539168,0.8129842
Nrsn1 ,0.00790148,0.8123242
Eps8 ,0.03301614,0.81185
Zfp52 ,0.02098106,0.8109817
Mrpl50 ,0.00898117,0.8108867
Pqlc3 ,0.02554236,0.810525
Mki67ip ,0.05379517,0.809795
Nck1 ,0.02491241,0.80963
Pon3 ,0.02915774,0.80905
Fuca2 ,0.0452351,0.8089767
Tmem97 ,0.0422722,0.8085092
Zmpste24 ,0.06882495,0.80831
Alg5 ,0.03952434,0.8078775
Gtf2h5 ,0.04969679,0.8065217
Pde6d ,0.03174789,0.8059917
Frk ,0.00677039,0.8052708
Actr10 ,0.0482549,0.8049525
Cfdp1 ,0.02735677,0.8047517
Mr1 ,0.01561699,0.8046867
Med6 ,0.0458499,0.804285
Lyrm2 ,0.02766827,0.804235
1200003C05Rik ,0.02614905,0.80231
Creg1 ,0.0312731,0.8011667
Ola1 ,0.03169676,0.8009675
1110031I02Rik ,0.04087298,0.8008167
Atp6v1d ,0.05831317,0.8000267
Vps29 ,0.02567194,0.7993842
Tmem47 ,0.02739639,0.7980675
Mea1 ,0.0893177,0.7976625
Tank ,0.02205468,0.7976592
1110059E24Rik ,0.00721872,0.7970008
Polr2h ,0.03657281,0.7967475
Riok2 ,0.04172449,0.7965633
Cnih4 ,0.10953684,0.7953217
Asah1 ,0.01667538,0.7945417
Mycbp ,0.04188549,0.7926008
Med11 ,0.04747703,0.7917933
Golph3l ,0.02078233,0.79005
Gabrb3 ,0.06673894,0.7899658
Ccng1 ,0.05902583,0.7899583
Senp8 ,0.03802368,0.78989
Commd3 ,0.02892889,0.7884975
1700088E04Rik ,0.0212815,0.7884592
Lsm3 ,0.05867277,0.7875617
Cdkn1a ,0.12376624,0.7867933
Il6 ,0.1307601,0.78494
Ptrh2 ,0.0335585,0.7837558
Atp6v0e ,0.02677258,0.7837417
Acyp2 ,0.00476626,0.783265
Alg11 ,0.08828482,0.7828592
Tmem60 ,0.02388935,0.7824183
Postn ,0.08369345,0.7823817
Ccne2 ,0.01117058,0.782065
Il1a ,0.11235124,0.7820067
Agpat2 ,0.02412134,0.7814467
Tmem216 ,0.06767007,0.7812592
Mrpl35 ,0.04780705,0.7810892
Psmc6 ,0.03285827,0.7806517
Sep.07,0.02881895,0.7799758
Ndufb5 ,0.0393222,0.7791625
E2f5 ,0.0233924,0.7790117
Pycr1 ,0.06882104,0.7788208
Cops2 ,0.03847233,0.778745
Psmd10 ,0.04052001,0.7782517
1810030O07Rik ,0.06328031,0.7781733
Agbl3 ,0.01751911,0.7771108
Stra13 ,0.0031314,0.7768483
Sgcd ,0.06124434,0.7766425
Chac2 ,0.01117261,0.7764617
Pigc ,0.00875194,0.7764575
Ino80c ,0.0378537,0.77523
Pex3 ,0.02068112,0.77496
Ctdspl2 ,0.01427366,0.7740142
Tmem170 ,0.04685153,0.77373
Nif3l1 ,0.01680773,0.7736017
Sigmar1 ,0.0286026,0.7715375
Rab9 ,0.0126965,0.7708408
Prps2 ,0.02103355,0.77015
Med31 ,0.02252321,0.7694283
Rnf5 ,0.03650491,0.7691383
Pole4 ,0.03168863,0.7676283
Rnf128 ,0.05797162,0.7676083
Rgs2 ,0.0483961,0.7674608
Cd81 ,0.00798982,0.7668083
Serpina1d ,0.06714305,0.7638317
Cenpq ,0.04254602,0.7634675
Cldn11 ,0.01985476,0.7630692
Pgcp ,0.0649834,0.7626917
Cmc1 ,0.03269399,0.7625825
Tmem159 ,0.01781436,0.7624417
Ace2 ,0.05542374,0.7623217
Ndn ,0.07021669,0.7621208
1110012L19Rik ,0.00914498,0.7619592
Spcs2 ,0.10641053,0.7617092
Ifrg15 ,0.05599079,0.7616983
Mmgt1 ,0.09181487,0.7615508
Arpc5 ,0.09669557,0.7610833
Mrpl34 ,0.04006541,0.7603417
S100a4 ,0.00192157,0.7601075
Adss ,0.05258149,0.7600333
Mobkl3 ,0.06482,0.7588575
5730455P16Rik ,0.05013882,0.7569283
D4Bwg0951e ,0.12895782,0.7568333
Hapln1 ,0.01352278,0.7565433
Igtp ,0.14130489,0.7564908
D230037D09Rik ,0.07030038,0.7564583
Arhgap5 ,0.00605047,0.7559758
Sar1b ,0.0374059,0.755175
Glrx ,0.12096041,0.7541992
Rpp14 ,0.00815837,0.7538042
Ints12 ,0.04148222,0.7533158
Psma6 ,0.03290232,0.7533067
Gpx4 ,0.02198486,0.7528517
Rtp4 ,0.28784594,0.7525908
Fhl5 ,0.02298556,0.751985
2610301B20Rik ,0.02554389,0.7519833
Gatm ,0.0382311,0.7519092
Tmem106b ,0.04543112,0.749795
Lin52 ,0.03141243,0.7497475
Ap1s3 ,0.02094018,0.7493883
Cdkn2aip ,0.08504733,0.7493142
Zcrb1 ,0.04268052,0.7491667
1810014F10Rik ,0.00457845,0.7490058
Mrpl20 ,0.03381403,0.7476767
Dapp1 ,0.14017106,0.7474242
Ccdc56 ,0.00958565,0.7466583
Arl6ip5 ,0.03677342,0.7466108
Acaa2 ,0.0047218,0.74635
Sfrs3 ,0.05569609,0.7460167
Pus3 ,0.0604938,0.7453758
Cops6 ,0.05509244,0.7452342
Mettl4 ,0.02249629,0.7452242
Apex1 ,0.01996182,0.7450875
Fbxo8 ,0.02434114,0.744265
Npal2 ,0.04833068,0.744055
Atad1 ,0.02317935,0.74365
Leprel1 ,0.03955549,0.74365
Iqub ,0.15733235,0.7430842
Ube3a ,0.03147497,0.74205
2610204K14Rik ,0.07651452,0.7404058
Ngly1 ,0.02974991,0.7403008
6720456H20Rik ,0.02537742,0.7402375
Slc35a5 ,0.04379929,0.7396125
Cse1l ,0.02403091,0.7390042
5033414D02Rik ,0.00612873,0.7389492
Olfr920 ,0.35025159,0.7388325
Plaa ,0.04896968,0.7387242
Gyg ,0.021906,0.7376183
Slc17a5 ,0.07649159,0.7371883
Prrg4 ,0.11538599,0.7366467
Commd2 ,0.01842004,0.7362292
Slc25a17 ,0.0712943,0.7362175
Rad51c ,0.00915851,0.7355675
Cd24a ,0.05905792,0.7346417
Rg9mtd3 ,0.04265522,0.7338692
Syap1 ,0.033145,0.7330617
Rsu1 ,0.03228665,0.7322875
Trmt5 ,0.04503816,0.7319033
Ap2m1 ,0.05957215,0.7317692
Zfp677 ,0.00239225,0.7312608
Stk32b ,0.04347717,0.7312383
Cldnd1 ,0.11186975,0.7308058
Txndc10 ,0.03243839,0.7300217
Lrrc40 ,0.04417272,0.7287517
Enpep ,0.12754512,0.7279167
Actl6a ,0.06163078,0.7275692
D10Ertd641e ,0.08560321,0.7267433
1700065O13Rik ,0.00573263,0.7265208
Hbxip ,0.06731955,0.7265175
Srd5a3 ,0.11565614,0.7263708
Hmgb1 ,0.00527715,0.7256767
Ggps1 ,0.0397654,0.7255942
Zfp40 ,0.04525696,0.7254092
Vps25 ,0.06852246,0.7251525
Fam171b ,0.06356695,0.7250483
Asf1a ,0.01168645,0.7249975
Psmd14 ,0.02110111,0.7249458
Scd1 ,0.08984427,0.7249433
Pkia ,0.04538497,0.7243617
Tm2d2 ,0.07231628,0.7234533
Rbm12b ,0.05922783,0.7230808
Tnfsf10 ,0.20357429,0.7217575
Bxdc2 ,0.05514162,0.7214817
A830023I12Rik ,0.00341478,0.721465
Calb1 ,0.0722285,0.7212642
Vamp8 ,0.0206204,0.7208442
C1galt1 ,0.05898676,0.7205533
Fez1 ,0.00424583,0.71994
Acer3 ,0.02114927,0.7198617
Brcc3 ,0.0128281,0.7194083
Tmem126b ,0.01640261,0.718875
Atl3 ,0.05103636,0.7183858
Stbd1 ,0.00799624,0.7178708
Acsl4 ,0.05906026,0.7177142
Cluap1 ,0.02852857,0.7172283
Zfp39 ,0.02545022,0.7171708
Bivm ,0.01675198,0.714995
Chordc1 ,0.00989256,0.7142583
Rpe ,0.03340727,0.71405
Ifi44 ,0.17667094,0.7131625
Mtap ,0.01821963,0.7131108
Hprt1 ,0.01564992,0.7124933
Hiatl1 ,0.03708709,0.7120108
Taar1 ,0.0119591,0.7119133
BC032265 ,0.03654065,0.7110217
Zfp37 ,0.03764761,0.7109942
Syce2 ,0.00163407,0.7099508
Tmem30b ,0.0086611,0.7097392
Gla ,0.00320762,0.7092783
Enpp5 ,0.04093211,0.709125
Rgs5 ,0.01629433,0.7084342
1110008F13Rik ,0.03806911,0.7076867
Serinc1 ,0.06817353,0.7073417
Fancl ,0.03445896,0.706935
Lysmd3 ,0.02360124,0.7064342
Ndufs7 ,0.01587265,0.7057667
Tpmt ,0.01940117,0.7057642
Adh5 ,0.01705208,0.7052517
Mier1 ,0.05545765,0.705085
Casp8 ,0.03612824,0.70477
Aldh6a1 ,0.04130698,0.704675
Dph3 ,0.04346336,0.7043542
Cops4 ,0.089441,0.70383
Bmi1 ,0.00948685,0.7034525
Pcyox1 ,0.05221377,0.7032842
Chchd4 ,0.12102379,0.7031875
Clcc1 ,0.05610834,0.7029775
Ap3m1 ,0.04143343,0.7029008
Pcmtd1 ,0.08089191,0.7028825
B2m ,0.10602531,0.7025
Mrpl48 ,0.1348066,0.7022633
Gtpbp4 ,0.06298609,0.7022042
Kpna3 ,0.01732148,0.7013967
Lrrc67 ,0.00979085,0.7013625
Wrb ,0.08966648,0.7012533
Ggct ,0.00783028,0.7012442
Il10 ,0.0627949,0.7011792
Folr1 ,0.0433046,0.7007917
Tmem184c ,0.05142801,0.7007858
Taf9 ,0.0333314,0.7007067
Mak16 ,0.0752825,0.69998
Lor ,0.1577355,0.6998642
Rars ,0.08149841,0.6997842
Gspt1 ,0.11674951,0.69965
Mrpl51 ,0.04525573,0.6988717
Eef1e1 ,0.016476,0.6956308
Nmnat1 ,0.02243959,0.695075
Ntan1 ,0.03652089,0.6945458
Fam152a ,0.19142754,0.6942458
Acad11 ,0.02388961,0.69348
Pnpt1 ,0.04342543,0.6932192
3110001D03Rik ,0.02237816,0.693075
Fam70a ,0.14149206,0.6928633
Akr1c13 ,0.00442802,0.6924067
Zranb1 ,0.01306826,0.6923167
Rnf139 ,0.04701055,0.6923
Ghitm ,0.0438562,0.692125
Ccnh ,0.00494082,0.6910458
Cyb5 ,0.07199664,0.6905667
Acot6 ,0.10429238,0.6904358
Ttc30b ,0.14011042,0.6898125
Orc4l ,0.02940668,0.6896533
Gnpda1 ,0.05358927,0.6889125
Cstb ,0.04951057,0.6889067
Cyp7b1 ,0.0272987,0.6887675
Olfr449 ,0.04666404,0.6886733
Tnfrsf22 ,0.02837514,0.6883183
Aqp11 ,0.0604316,0.6882758
Dcn ,0.16773209,0.6879383
Pgrmc1 ,0.07819468,0.68735
Nae1 ,0.03593356,0.6866392
Ifngr2 ,0.1747966,0.6865567
Cldn1 ,0.00889486,0.6862767
Mrpl40 ,0.02650415,0.6862483
Med21 ,0.02929851,0.6843075
Sep.02,0.04631337,0.68399
Ube2a ,0.04060278,0.6835708
Ddx52 ,0.05426787,0.6830308
Phospho2 ,0.00862451,0.6826592
Slc35a3 ,0.03720736,0.6825717
Atp5j ,0.05362344,0.6816908
Lims1 ,0.04768418,0.680735
2610524H06Rik ,0.04976779,0.6803467
Tmem160 ,0.00807076,0.6791992
Ntm ,0.00440647,0.6789042
Snap23 ,0.03401465,0.678835
Ssbp2 ,0.02455435,0.6788342
Kcnip3 ,0.11742794,0.6787617
Gcdh ,0.02205314,0.6782808
Mobkl1b ,0.0808795,0.6775958
Rbm7 ,0.02838712,0.6772883
Alg14 ,0.07044281,0.6771075
1700040L02Rik ,0.04978122,0.6762408
Mettl10 ,0.01490096,0.6760117
Hiat1 ,0.03926612,0.6758583
Ppp1r11 ,0.02955012,0.6745508
Dpy30 ,0.02463048,0.6744458
Rpap2 ,0.00854177,0.6742883
Snx6 ,0.06349271,0.6740792
Ttc39b ,0.05084776,0.6739967
Ufm1 ,0.07982333,0.673975
Drg1 ,0.06222401,0.6735867
Smu1 ,0.03921082,0.673555
Ppbp ,0.19995047,0.6732592
Cox7a2 ,0.02092809,0.6727025
Dusp19 ,0.01183268,0.67249
Gbp2 ,0.3940688,0.6721567
Sema3c ,0.17784531,0.6720917
Dhrs7 ,0.11300505,0.6717358
Rnps1 ,0.0339835,0.6712292
Zfp449 ,0.01944759,0.6711567
Zfp119 ,0.06034415,0.671045
C530044N13Rik ,0.02814906,0.6710192
1700022C21Rik ,0.02171625,0.6706592
Siae ,0.03636232,0.6701792
Nol11 ,0.0350705,0.670075
Ift20 ,0.01237146,0.6698417
Pfn4 ,0.00186439,0.6697767
Tmem5 ,0.03403172,0.6697708
Serp2 ,0.02291553,0.6696842
Ifngr1 ,0.02902562,0.6694108
Cav1 ,0.06095808,0.6692533
Tmem70 ,0.02110022,0.669115
Mrpl49 ,0.01971621,0.668605
Tmem177 ,0.00890033,0.6682725
Dnajc12 ,0.07003214,0.6681642
Ttll1 ,0.10068894,0.6680992
Spryd4 ,0.02771322,0.6675392
Vps26a ,0.03213853,0.6674083
54230,0.01021226,0.667255
Dnajc15 ,0.03091556,0.6666492
D2Bwg1335e ,0.03925458,0.6661833
Irgm1 ,0.27944844,0.6653233
Dus4l ,0.01035446,0.6653108
Ifnar2 ,0.06451487,0.6640892
Tmem49 ,0.07011044,0.6636908
Mfsd8 ,0.04280855,0.6636067
Stam2 ,0.08588011,0.6634758
Uox ,0.01116506,0.6622233
Klhl13 ,0.08497752,0.6618975
Irak1bp1 ,0.06449022,0.6617333
Pdgfa ,0.08161931,0.6613792
Tbc1d19 ,0.04116031,0.66122
Zbtb1 ,0.08584914,0.66118
Erlin1 ,0.0403902,0.6611358
Hat1 ,0.0406495,0.6610775
Ube2l6 ,0.22022185,0.6608842
Rhoc ,0.06843087,0.6607983
Pigx ,0.05757407,0.6607592
Lphn3 ,0.02889238,0.6590458
Trim23 ,0.01488479,0.6585542
Fcer1g ,0.0472263,0.6583275
Ppif ,0.07021903,0.6573408
Lap3 ,0.03745464,0.6570383
Pcdhb22 ,0.00501522,0.6567975
Tmem85 ,0.03854952,0.6565892
Ppap2c ,0.08671344,0.656555
1810055E12Rik ,0.05062777,0.656015
Chrna3 ,0.13462413,0.6559217
Chm ,0.02354178,0.6555008
2010012O05Rik ,0.01183036,0.6544625
Osgep ,0.01289648,0.653205
Asb9 ,0.06527164,0.653075
Nmd3 ,0.03868094,0.652095
Akr1c12 ,0.03088372,0.6514042
Rwdd2a ,0.03072511,0.6513983
Lass5 ,0.03871452,0.651325
Ubl4 ,0.05050476,0.6509175
Rcbtb2 ,0.01754319,0.6508483
Sdf2 ,0.01118441,0.6505983
Dscr3 ,0.0950143,0.650145
Leprot ,0.1210735,0.6500058
Ergic2 ,0.04117642,0.6492383
Nsdhl ,0.08738487,0.6482908
F2rl1 ,0.07928934,0.6481058
Rrm1 ,0.07930526,0.648075
Tppp3 ,0.19653945,0.6480342
Fbxl21 ,0.02533999,0.6479367
Txndc14 ,0.04674782,0.6477925
E130311K13Rik ,0.0037021,0.6473775
Car15 ,0.02523705,0.6473592
Fam134b ,0.38333808,0.6470408
Mid2 ,0.04245603,0.6470358
Cxcl10 ,0.36643705,0.6468558
Atp6v1a ,0.0272632,0.64653
0610010F05Rik ,0.0150486,0.6463967
Tmem53 ,0.02608712,0.6461517
BC003331 ,0.03511588,0.6455458
Lmbrd2 ,0.02887703,0.6451992
Ms4a6c ,0.02226148,0.6448792
Mrp63 ,0.050722,0.6447833
Lin7c ,0.02926138,0.644675
Nutf2 ,0.07975081,0.6446042
Wee1 ,0.05427315,0.6444858
Mfsd2 ,0.29695002,0.644335
Mrpl52 ,0.05667044,0.6434983
Llph ,0.02421941,0.6432117
Farsb ,0.06209926,0.6427317
Hibadh ,0.05028675,0.6424225
Fam82b ,0.01289307,0.642325
Ccdc126 ,0.02832125,0.6417658
lr2c ,0.06044004,0.6417083
4933411K20Rik ,0.03752954,0.6415575
Rala ,0.0528528,0.6414883
Yipf6 ,0.04709789,0.6413833
Thoc3 ,0.07705591,0.641035
Elovl6 ,0.0778532,0.6408183
BC016495 ,0.01886596,0.6407025
1110008P14Rik ,0.02322519,0.6404042
Ei24 ,0.05347449,0.64015
Fam49b ,0.06000281,0.6393667
Nt5c3 ,0.06530882,0.63926
Morn4 ,0.13330851,0.639245
Fam175b ,0.067765,0.6392267
1810020D17Rik ,0.0079215,0.6388542
Fam81a ,0.08825772,0.63871
Fam82a1 ,0.04058365,0.6385583
Ppm1d ,0.02099233,0.6381783
Fkbp3 ,0.00915686,0.637745
